gene	average
AFDN-DT	4.509347
ZNF771	5.678312
TIMM17A	8.424484
CAPZA1	9.058316
FLVCR2	6.0467114
HELZ	7.3955545
RAB23	6.5646486
PHC2	7.9260707
POLR2A	7.129099
PBRM1	7.7455163
SLC25A10	5.772816
GREB1L	5.473756
NPAS3	5.497983
PLCL1	5.178066
EFEMP1	6.5667787
MED23	7.3310285
ARSB	5.7396197
WDR77	7.1883736
RTRAF	8.977098
ZNF165	5.1248326
BRD1	7.0989685
SYNC	5.495984
C1QL1	5.464149
ITGB8	6.3656225
MLLT3	6.3430924
YTHDC1	8.567614
CBX4	8.033744
ARHGDIB	8.529108
CLDN10	5.2759743
PCDHGA3	4.9358277
USP13	6.9076543
CLP1	7.211549
ALOX15B	5.177987
HOXD11	4.519128
PRRC2B	7.518434
HDHD5	7.1569095
SERTAD3	6.4493074
KLHDC4	6.674826
NUMA1	7.4891634
TSPAN31	7.607176
SEC63	7.978785
PPM1G	7.2022557
BIN3	6.9751353
WDR59	7.1812572
HSD17B14	5.8935547
IGSF1	5.11635
NSF	7.7647614
RIF1	7.298836
TTLL4	6.3228803
GNAO1	6.275371
LPAR3	5.3925333
GLA	7.487166
LGR5	5.0380588
SCAMP4	6.299607
THAP10	5.5354586
SERPINI1	6.0667033
EHMT1	7.094494
CLIC2	5.456007
GRK4	5.2196045
GAS6	7.197157
MAP1B	6.68294
RNF34	7.5670905
GOLGB1	7.5470223
RAB15	6.4295244
RUNDC3A	5.844724
C17orf80	6.6919527
ESRRG	5.166564
JARID2	7.685454
CHM	7.012969
CTNS	6.379322
ATP10A	6.1844816
RETSAT	6.9560785
IFT46	6.510669
ZC3H11A	8.807776
KIF21B	5.869179
CHMP2A	8.165494
GABRD	4.693264
PLOD1	6.867089
USP12	7.099767
KCNJ10	4.710473
TNPO1	8.947471
METTL1	6.314194
FKBP10	5.4263678
DNAH17	5.0752907
XPO6	7.8017597
DVL2	6.9457684
ADCY1	5.7319894
NCAPH	5.621402
DCTPP1	7.6878204
TESC	6.2897263
TNNI2	4.86223
CLN5	7.097213
NOCT	5.852576
PTPN7	6.1226287
GTF2F2	6.267643
FGF12	4.8392596
FGFR3	6.095992
THBS2	6.1078434
BAIAP3	5.738369
BLZF1	6.175949
HCFC1	7.185394
NHLH1	4.9265885
MVD	5.316239
PTGER2	5.559597
SLC14A1	4.900331
MRPL33	8.196767
OGG1	6.605989
RUBCN	7.300811
RBM22	7.9704328
CES2	7.389484
UVRAG	6.773142
ADAM15	6.6530256
SMPD3	5.5426373
AKAP12	6.790891
OSBPL2	7.224146
ROBO4	6.045385
SHFL	7.2271514
CORO2A	5.95816
CTSH	7.965038
SF3A3	7.161505
GLMN	6.350674
CHPF	6.1558046
ATG9A	6.7593074
NEO1	6.482739
CYFIP1	8.183635
CMC2	7.8079486
DEDD	7.5999503
UBTF	7.020214
RPL13A	10.579962
GLB1	7.5995007
EXTL2	6.6921473
VASP	7.0533776
UBL4A	6.877928
RMND5A	7.470613
NARF	7.570628
PARP8	6.867924
VAV2	6.6013126
PES1	6.877573
DNAAF11	5.7541637
IRF5	6.5007143
ZFYVE26	6.726107
URB1	6.0299807
ZNF350	5.990684
NDE1	7.322275
NME5	5.1033196
CNBP	9.271955
CDH13	4.6489387
APOD	6.053954
LRRC15	5.560966
SRPK2	7.771623
PITX2	4.0555196
C10orf95	4.881904
MRPL4	7.0231857
CIAO2B	8.038024
ASPM	6.4477363
TEX261	7.4815884
GLI3	6.471188
RPS6KA4	6.540048
CAMK1D	6.939198
ACOT8	6.5714674
C11orf58	8.725349
TMEM94	6.43792
CHGA	4.7778506
NUCB1	7.193243
SRRD	6.9674454
BPNT2	7.761108
GID8	7.6871214
UQCRC2	8.845022
ADAMTS9	5.77534
CRTC1	6.0198426
TNNI3K	4.6513305
PRR14	7.520976
AMFR	6.839683
TNK2	6.6946125
PWAR5	4.162992
CCNG1	8.50872
EFHD1	5.7708006
TMX1	8.352418
SBF1	6.9849224
HERC5	6.533022
MRPL44	6.935716
CISH	6.7479277
RNFT1	6.749279
TRIM68	6.496739
PSMB2	8.578931
ZNF672	6.965863
GID4	6.57828
PRPSAP1	7.59311
MMS19	7.088752
NIPAL3	6.9928293
WFDC2	6.186737
PSME3	7.6554065
CSRNP2	6.606864
APOL1	6.3835354
PCDHB12	4.770549
DNAJB9	7.881895
TEX264	6.713626
CHST2	6.622566
SARDH	5.591372
CLDN5	5.814692
RIMS2	5.5507545
VWF	6.0616765
H1-3	5.485659
RGS14	6.3876424
EHD1	7.3838577
BEX4	6.6720986
PBLD	6.0097766
NEK3	6.2528477
ZNF331	6.7892675
FKBP15	7.4342904
OGT	8.818798
AKAP17A	7.6686177
OS9	8.184043
MAOB	5.9790998
APEH	7.141754
SNUPN	7.117353
CTNNA1	8.508299
FOXJ1	5.0901766
ZNF175	6.0081806
TOX3	5.9129386
ALMS1	7.162151
INTS5	6.88073
P2RX4	6.615616
ECSIT	6.5688143
